formid,exp,geogr,date,stemp,btemp,btime,start,visibility,averagedepth,maxdepth,current,habitat,,
5025120,E,34030086,7/4/2009,84,84,67,12,2,4,NULL,1,3,,
5025119,E,34030038,7/4/2009,84,84,38,10,2,10,NULL,1,10,,
5025122,E,34030023,7/4/2009,84,81,69,15,2,4,NULL,2,2,,
5025124,E,34030015,7/4/2009,84,81,70,16,2,4,NULL,2,2,,
5025106,E,34030043,7/5/2009,86,84,61,9,3,5,NULL,3,3,,
5025126,E,34030033,7/5/2009,86,85,61,11,3,4,NULL,1,3,,
5029197,E,34080008,7/6/2009,86,86,32,10,3,4,NULL,3,3,,
5029211,E,34080008,7/6/2009,87,87,24,11,3,4,NULL,3,9,,
5029212,E,34080008,7/6/2009,86,86,28,12,3,4,NULL,2,3,,
5029213,E,34080008,7/6/2009,86,86,21,13,3,5,NULL,2,2,,
5029217,E,34080008,7/6/2009,87,87,26,14,3,3,NULL,2,2,,
5029218,E,34080008,7/6/2009,86,86,28,15,3,4,NULL,2,7,,
5025288,E,34030053,7/6/2009,83,0,60,12,1,1,NULL,3,1,,
5025377,E,34100209,7/7/2009,0,75,34,15,4,11,NULL,1,3,,
5025375,E,34100205,7/7/2009,0,75,34,9,4,11,NULL,1,3,,
5025376,E,34100203,7/7/2009,0,75,35,12,4,11,NULL,1,3,,
5029190,E,34080066,7/7/2009,86,86,20,10,2,4,NULL,3,1,,
5029195,E,34080066,7/7/2009,84,84,50,14,3,5,NULL,3,1,,
5029219,E,34080049,7/7/2009,86,86,22,13,3,4,NULL,1,7,,
5029214,E,34080008,7/7/2009,86,86,36,11,3,4,NULL,2,2,,
5029215,E,34080008,7/7/2009,86,86,27,9,3,3,NULL,3,2,,
5029220,E,34080008,7/7/2009,87,87,37,1,3,4,NULL,2,7,,
5029221,E,34080008,7/7/2009,87,87,25,15,3,3,NULL,2,7,,
5029192,E,34050001,7/7/2009,84,84,45,12,3,5,NULL,3,1,,
5025379,E,34100205,7/8/2009,0,75,40,9,5,11,NULL,2,3,,
5025381,E,34100205,7/8/2009,0,77,49,16,4,9,NULL,1,3,,
5025380,E,34100203,7/8/2009,0,75,35,12,4,11,NULL,1,3,,
5029222,E,34080008,7/8/2009,84,84,29,10,2,10,NULL,3,2,,
5029224,E,34080008,7/8/2009,82,82,23,11,2,7,NULL,1,3,,
5029226,E,34080008,7/8/2009,86,86,18,15,3,4,NULL,2,7,,
5029223,E,34080004,7/8/2009,84,84,28,12,3,4,NULL,2,3,,
5029225,E,34080004,7/8/2009,86,86,31,14,3,5,NULL,2,3,,
5025226,E,34110005,7/9/2009,87,0,90,14,3,1,NULL,3,1,,
5025458,E,34100283,7/9/2009,0,77,30,11,4,10,NULL,1,3,,
5025382,E,34100280,7/9/2009,0,77,77,8,5,11,NULL,3,3,,
5025383,E,34100206,7/9/2009,0,75,32,14,4,12,NULL,2,3,,
5025384,E,34100205,7/9/2009,0,77,43,17,4,7,NULL,2,3,,
5029231,E,34080001,7/9/2009,84,84,28,11,2,7,NULL,2,3,,
5029232,E,34080001,7/9/2009,87,87,24,10,2,3,NULL,3,3,,
5029233,E,34080001,7/9/2009,86,86,29,12,2,5,NULL,2,1,,
5029234,E,34080001,7/9/2009,86,86,29,13,2,6,NULL,2,2,,
5029300,E,34080001,7/9/2009,87,87,21,14,2,2,NULL,2,7,,
5029301,E,34080001,7/9/2009,87,87,24,15,2,2,NULL,2,9,,
5025329,E,34060011,7/9/2009,88,84,58,11,2,3,NULL,3,3,,
5025370,E,34060006,7/9/2009,88,82,105,12,2,3,NULL,3,3,,
5025385,E,34100207,7/10/2009,0,77,31,9,4,11,NULL,1,3,,
5025388,E,34100205,7/10/2009,0,79,45,16,3,7,NULL,1,3,,
5025387,E,34100201,7/10/2009,0,75,37,13,3,12,NULL,2,3,,
5025460,E,34100285,7/11/2009,0,82,45,9,4,10,NULL,3,2,,
5025389,E,34100096,7/11/2009,0,82,35,15,4,9,NULL,2,3,,
5025462,E,34100284,7/12/2009,0,77,28,9,4,11,NULL,1,3,,
5025390,E,34090007,7/12/2009,0,84,57,10,3,8,NULL,2,4,,
5025459,E,34030053,7/14/2009,85,0,90,13,1,1,NULL,2,1,,
5025507,E,34080008,7/16/2009,86,86,44,15,3,4,NULL,3,2,,
5025566,E,34080018,7/18/2009,86,86,60,16,3,4,NULL,3,2,,
5025659,E,34030013,7/20/2009,0,0,60,14,3,1,NULL,3,2,,
5026047,E,34100317,7/21/2009,0,84,27,8,3,5,NULL,2,9,,
5026049,E,34100303,7/21/2009,0,82,29,10,2,9,NULL,1,3,,
5026041,E,34100302,7/21/2009,0,82,34,12,3,7,NULL,2,3,,
5026051,E,34100301,7/21/2009,0,82,34,14,2,7,NULL,2,3,,
5026053,E,34100251,7/21/2009,0,82,33,16,3,7,NULL,1,3,,
5026057,E,34100314,7/22/2009,0,84,28,13,3,4,NULL,2,3,,
5026062,E,34100309,7/22/2009,0,84,23,15,3,4,NULL,1,9,,
5026063,E,34100300,7/22/2009,0,84,24,17,2,4,NULL,2,3,,
5026055,E,34100295,7/22/2009,0,82,35,8,2,5,NULL,3,3,,
5026056,E,34100070,7/22/2009,0,82,33,11,3,4,NULL,3,2,,
5026082,E,34100308,7/23/2009,0,84,34,8,3,8,NULL,2,3,,
5026088,E,34100305,7/23/2009,0,84,34,13,3,5,NULL,2,3,,
5026083,E,34100297,7/23/2009,0,84,37,11,3,8,NULL,2,3,,
5026090,E,34100293,7/23/2009,0,84,31,17,2,5,NULL,1,3,,
5026089,E,34100292,7/23/2009,0,84,31,15,3,7,NULL,1,3,,
5026100,E,34100316,7/24/2009,0,86,30,17,3,5,NULL,1,3,,
5026095,E,34100315,7/24/2009,0,84,34,8,3,5,NULL,3,3,,
5026097,E,34100310,7/24/2009,0,84,39,12,3,5,NULL,3,2,,
5026099,E,34100306,7/24/2009,0,84,34,15,3,5,NULL,1,2,,
5026096,E,34100294,7/24/2009,0,84,28,10,3,4,NULL,1,3,,
5025835,E,34080008,7/24/2009,83,0,50,11,4,1,NULL,3,3,,
5025728,E,34030039,7/24/2009,0,84,55,14,4,4,NULL,3,2,,
5025729,E,34030008,7/24/2009,0,84,62,16,3,6,NULL,2,9,,
5026104,E,34100312,7/25/2009,0,86,28,16,2,3,NULL,2,3,,
5026102,E,34100311,7/25/2009,0,86,36,12,3,6,NULL,2,2,,
5026103,E,34100304,7/25/2009,0,82,31,14,3,7,NULL,3,3,,
5026163,E,34100287,7/25/2009,85,84,44,14,4,8,NULL,2,1,,
5026166,E,34100287,7/25/2009,85,84,120,15,4,1,NULL,3,11,,
5026101,E,34100061,7/25/2009,0,84,33,8,3,6,NULL,2,2,,
5026169,E,34100019,7/25/2009,85,85,51,17,4,6,NULL,2,1,,
5026167,E,34100016,7/25/2009,84,83,46,12,4,8,NULL,2,1,,
5026021,E,34040133,7/25/2009,85,0,46,10,4,9,NULL,2,1,,
5026105,E,34100313,7/26/2009,0,86,33,8,3,6,NULL,1,3,,
5026110,E,34100233,7/26/2009,0,86,39,13,3,6,NULL,2,2,,
5026108,E,34100217,7/26/2009,0,86,30,11,3,3,NULL,3,3,,
5026112,E,34100039,7/26/2009,0,86,34,15,3,4,NULL,3,3,,
5026131,E,34100318,7/27/2009,0,86,36,11,3,5,NULL,2,3,,
5026133,E,34100307,7/27/2009,0,86,33,15,2,5,NULL,3,3,,
5026132,E,34100299,7/27/2009,0,86,33,13,3,5,NULL,2,3,,
5026130,E,34100291,7/27/2009,0,86,39,8,4,6,NULL,2,3,,
5026134,E,34100087,7/27/2009,0,86,41,17,2,5,NULL,2,2,,
5026142,E,34100298,7/28/2009,0,84,35,13,3,7,NULL,2,2,,
5026135,E,34100296,7/28/2009,0,84,26,8,3,8,NULL,2,8,,
5026143,E,34100289,7/28/2009,0,86,39,15,3,7,NULL,2,2,,
5026137,E,34100269,7/28/2009,0,84,33,11,3,9,NULL,2,2,,
5026144,E,34100009,7/28/2009,0,86,39,17,3,4,NULL,3,2,,
5026159,E,34100319,7/29/2009,0,86,39,12,3,7,NULL,3,3,,
5026179,E,34100290,7/29/2009,0,84,40,16,3,6,NULL,2,2,,
5026145,E,34100288,7/29/2009,0,84,34,8,2,8,NULL,2,2,,
5026156,E,34100270,7/29/2009,0,84,36,10,2,8,NULL,3,2,,
5026160,E,34100098,7/29/2009,0,81,37,14,2,8,NULL,3,3,,
5026180,E,34100232,7/30/2009,0,86,40,9,3,4,NULL,2,2,,
5026081,E,34030045,8/6/2009,0,85,45,10,2,1,NULL,3,2,,
5026368,E,34110005,8/12/2009,85,0,90,15,2,1,NULL,2,1,,
5027291,E,34030011,8/21/2009,88,82,65,14,4,5,NULL,2,1,,
5027293,E,34030009,8/21/2009,88,82,65,16,5,5,NULL,1,1,,
